Year,Month,Average Co2 (ppm),Increment,R,G,B,X1,Y1,X2,Y2,X3,Y3 ,,,
1980,1,337.9,0.44,0,255,255,100,275,90,260,110,260,,SOURCE,ftp://aftp.cmdl.noaa.gov/products/trends/co2/co2_weekly_mlo.txt
1980,2,338.34,1.67,0,255,253.504,100.862069,275,90.86206897,260,110.862069,260,,,
1980,3,340.01,0.92,0,255,247.826,101.7241379,275,91.72413793,260,111.7241379,260,,,
1980,4,340.93,0.55,0,255,244.698,102.5862069,275,92.5862069,260,112.5862069,260,,,
1980,5,341.48,-0.15,0,255,242.828,103.4482759,275,93.44827586,260,113.4482759,260,,,
1980,6,341.33,-1.93,0,255,243.338,104.3103448,275,94.31034483,260,114.3103448,260,,,
1980,7,339.4,-1.7,0,255,249.9,105.1724138,275,95.17241379,260,115.1724138,260,,,
1980,8,337.7,-1.51,0,255,255.68,106.0344828,275,96.03448276,260,116.0344828,260,,,
1980,9,336.19,-0.04,0,255,260.814,106.8965517,275,96.89655172,260,116.8965517,260,,,
1980,10,336.15,1.12,0,255,260.95,107.7586207,275,97.75862069,260,117.7586207,260,,,
1980,11,337.27,1.05,0,255,257.142,108.6206897,275,98.62068966,260,118.6206897,260,,,
1980,12,338.32,0.97,0,255,253.572,109.4827586,275,99.48275862,260,119.4827586,260,,,
1981,1,339.29,1.26,0,255,250.274,110.3448276,275,100.3448276,260,120.3448276,260,,,
1981,2,340.55,1.06,0,255,245.99,111.2068966,275,101.2068966,260,121.2068966,260,,,
1981,3,341.61,0.92,0,255,242.386,112.0689655,275,102.0689655,260,122.0689655,260,,,
1981,4,342.53,0.5,0,255,239.258,112.9310345,275,102.9310345,260,122.9310345,260,,,
1981,5,343.03,-0.49,0,255,237.558,113.7931034,275,103.7931034,260,123.7931034,260,,,
1981,6,342.54,-1.76,0,255,239.224,114.6551724,275,104.6551724,260,124.6551724,260,,,
1981,7,340.78,-2.34,0,255,245.208,115.5172414,275,105.5172414,260,125.5172414,260,,,
1981,8,338.44,-1.49,0,255,253.164,116.3793103,275,106.3793103,260,126.3793103,260,,,
1981,9,336.95,0.13,0,255,258.23,117.2413793,275,107.2413793,260,127.2413793,260,,,
1981,10,337.08,1.5,0,255,257.788,118.1034483,275,108.1034483,260,128.1034483,260,,,
1981,11,338.58,1.3,0,255,252.688,118.9655172,275,108.9655172,260,128.9655172,260,,,
1981,12,339.88,1.08,0,255,248.268,119.8275862,275,109.8275862,260,129.8275862,260,,,
1982,1,340.96,0.77,0,255,244.596,120.6896552,275,110.6896552,260,130.6896552,260,,,
1982,2,341.73,1.08,0,255,241.978,121.5517241,275,111.5517241,260,131.5517241,260,,,
1982,3,342.81,1.16,0,255,238.306,122.4137931,275,112.4137931,260,132.4137931,260,,,
