Year,Annual Sea Ice (Per MKM),W,,,,
1980,12.337,200,198.7663,,Source,https://nsidc.org/data/seaice_index/archives
1980,12.337,199.5593929,198.3256929,,,
1980,12.337,199.1187857,197.8850857,,,
1980,12.337,198.6781786,197.4444786,,,
1980,12.337,198.2375714,197.0038714,,,
1980,12.337,197.7969643,196.5632643,,,
1980,12.337,197.3563571,196.1226571,,,
1980,12.337,196.91575,195.68205,,,
1980,12.337,196.4751429,195.2414429,,,
1980,12.337,196.0345357,194.8008357,,,
1980,12.337,195.5939286,194.3602286,,,
1980,12.337,195.1533214,193.9196214,,,
1981,12.127,194.7127143,193.5000143,,,
1981,12.127,194.2796071,193.0669071,,,
1981,12.127,193.8465,192.6338,,,
1981,12.127,193.4133929,192.2006929,,,
1981,12.127,192.9802857,191.7675857,,,
1981,12.127,192.5471786,191.3344786,,,
1981,12.127,192.1140714,190.9013714,,,
1981,12.127,191.6809643,190.4682643,,,
1981,12.127,191.2478571,190.0351571,,,
1981,12.127,190.81475,189.60205,,,
1981,12.127,190.3816429,189.1689429,,,
1981,12.127,189.9485357,188.7358357,,,
1982,12.447,189.5154286,188.2707286,,,
1982,12.447,189.0708929,187.8261929,,,
1982,12.447,188.6263571,187.3816571,,,
1982,12.447,188.1818214,186.9371214,,,
1982,12.447,187.7372857,186.4925857,,,
1982,12.447,187.29275,186.04805,,,
1982,12.447,186.8482143,185.6035143,,,
1982,12.447,186.4036786,185.1589786,,,
1982,12.447,185.9591429,184.7144429,,,
1982,12.447,185.5146071,184.2699071,,,
1982,12.447,185.0700714,183.8253714,,,
1982,12.447,184.6255357,183.3808357,,,
1983,12.332,184.181,182.9478,,,
1983,12.332,183.7405714,182.5073714,,,
1983,12.332,183.3001429,182.0669429,,,
1983,12.332,182.8597143,181.6265143,,,
1983,12.332,182.4192857,181.1860857,,,
1983,12.332,181.9788571,180.7456571,,,
1983,12.332,181.5384286,180.3052286,,,
1983,12.332,181.098,179.8648,,,
1983,12.332,180.6575714,179.4243714,,,
1983,12.332,180.2171429,178.9839429,,,
1983,12.332,179.7767143,178.5435143,,,
1983,12.332,179.3362857,178.1030857,,,
1984,11.91,178.8958571,177.7048571,,,
1984,11.91,178.4705,177.2795,,,
1984,11.91,178.0451429,176.8541429,,,
1984,11.91,177.6197857,176.4287857,,,
1984,11.91,177.1944286,176.0034286,,,
1984,11.91,176.7690714,175.5780714,,,
1984,11.91,176.3437143,175.1527143,,,
1984,11.91,175.9183571,174.7273571,,,
1984,11.91,175.493,174.302,,,
1984,11.91,175.0676429,173.8766429,,,
1984,11.91,174.6422857,173.4512857,,,
1984,11.91,174.2169286,173.0259286,,,
1985,11.995,173.7915714,172.5920714,,,
1985,11.995,173.3631786,172.1636786,,,
1985,11.995,172.9347857,171.7352857,,,
1985,11.995,172.5063929,171.3068929,,,
1985,11.995,172.078,170.8785,,,
1985,11.995,171.6496071,170.4501071,,,
1985,11.995,171.2212143,170.0217143,,,
1985,11.995,170.7928214,169.5933214,,,
1985,11.995,170.3644286,169.1649286,,,
1985,11.995,169.9360357,168.7365357,,,
1985,11.995,169.5076429,168.3081429,,,
1985,11.995,169.07925,167.87975,,,
1986,12.203,168.6508571,167.4305571,,,
1986,12.203,168.2150357,166.9947357,,,
1986,12.203,167.7792143,166.5589143,,,
1986,12.203,167.3433929,166.1230929,,,
1986,12.203,166.9075714,165.6872714,,,
1986,12.203,166.47175,165.25145,,,
1986,12.203,166.0359286,164.8156286,,,
1986,12.203,165.6001071,164.3798071,,,
1986,12.203,165.1642857,163.9439857,,,
1986,12.203,164.7284643,163.5081643,,,
1986,12.203,164.2926429,163.0723429,,,
1986,12.203,163.8568214,162.6365214,,,
1987,12.135,163.421,162.2075,,,
1987,12.135,162.9876071,161.7741071,,,
1987,12.135,162.5542143,161.3407143,,,
1987,12.135,162.1208214,160.9073214,,,
1987,12.135,161.6874286,160.4739286,,,
1987,12.135,161.2540357,160.0405357,,,
1987,12.135,160.8206429,159.6071429,,,
1987,12.135,160.38725,159.17375,,,
1987,12.135,159.9538571,158.7403571,,,
1987,12.135,159.5204643,158.3069643,,,
1987,12.135,159.0870714,157.8735714,,,
1987,12.135,158.6536786,157.4401786,,,
1988,11.923,158.2202857,157.0279857,,,
1988,11.923,157.7944643,156.6021643,,,
1988,11.923,157.3686429,156.1763429,,,
1988,11.923,156.9428214,155.7505214,,,
1988,11.923,156.517,155.3247,,,
1988,11.923,156.0911786,154.8988786,,,
1988,11.923,155.6653571,154.4730571,,,
1988,11.923,155.2395357,154.0472357,,,
1988,11.923,154.8137143,153.6214143,,,
1988,11.923,154.3878929,153.1955929,,,
1988,11.923,153.9620714,152.7697714,,,
1988,11.923,153.53625,152.34395,,,
1989,11.967,153.1104286,151.9137286,,,
1989,11.967,152.6830357,151.4863357,,,
1989,11.967,152.2556429,151.0589429,,,
1989,11.967,151.82825,150.63155,,,
1989,11.967,151.4008571,150.2041571,,,
1989,11.967,150.9734643,149.7767643,,,
1989,11.967,150.5460714,149.3493714,,,
1989,11.967,150.1186786,148.9219786,,,
1989,11.967,149.6912857,148.4945857,,,
1989,11.967,149.2638929,148.0671929,,,
1989,11.967,148.8365,147.6398,,,
1989,11.967,148.4091071,147.2124071,,,
1990,11.694,147.9817143,146.8123143,,,
1990,11.694,147.5640714,146.3946714,,,
1990,11.694,147.1464286,145.9770286,,,
1990,11.694,146.7287857,145.5593857,,,
1990,11.694,146.3111429,145.1417429,,,
1990,11.694,145.8935,144.7241,,,
1990,11.694,145.4758571,144.3064571,,,
1990,11.694,145.0582143,143.8888143,,,
1990,11.694,144.6405714,143.4711714,,,
1990,11.694,144.2229286,143.0535286,,,
1990,11.694,143.8052857,142.6358857,,,
1990,11.694,143.3876429,142.2182429,,,
1991,11.749,142.97,141.7951,,,
1991,11.749,142.5503929,141.3754929,,,
1991,11.749,142.1307857,140.9558857,,,
1991,11.749,141.7111786,140.5362786,,,
1991,11.749,141.2915714,140.1166714,,,
1991,11.749,140.8719643,139.6970643,,,
1991,11.749,140.4523571,139.2774571,,,
1991,11.749,140.03275,138.85785,,,
1991,11.749,139.6131429,138.4382429,,,
1991,11.749,139.1935357,138.0186357,,,
1991,11.749,138.7739286,137.5990286,,,
1991,11.749,138.3543214,137.1794214,,,
1992,12.11,137.9347143,136.7237143,,,
1992,12.11,137.5022143,136.2912143,,,
1992,12.11,137.0697143,135.8587143,,,
1992,12.11,136.6372143,135.4262143,,,
1992,12.11,136.2047143,134.9937143,,,
1992,12.11,135.7722143,134.5612143,,,
1992,12.11,135.3397143,134.1287143,,,
1992,12.11,134.9072143,133.6962143,,,
1992,12.11,134.4747143,133.2637143,,,
1992,12.11,134.0422143,132.8312143,,,
1992,12.11,133.6097143,132.3987143,,,
1992,12.11,133.1772143,131.9662143,,,
1993,11.923,132.7447143,131.5524143,,,
1993,11.923,132.3188929,131.1265929,,,
1993,11.923,131.8930714,130.7007714,,,
1993,11.923,131.46725,130.27495,,,
1993,11.923,131.0414286,129.8491286,,,
1993,11.923,130.6156071,129.4233071,,,
1993,11.923,130.1897857,128.9974857,,,
1993,11.923,129.7639643,128.5716643,,,
1993,11.923,129.3381429,128.1458429,,,
1993,11.923,128.9123214,127.7200214,,,
1993,11.923,128.4865,127.2942,,,
1993,11.923,128.0606786,126.8683786,,,
1994,12.011,127.6348571,126.4337571,,,
1994,12.011,127.2058929,126.0047929,,,
1994,12.011,126.7769286,125.5758286,,,
1994,12.011,126.3479643,125.1468643,,,
1994,12.011,125.919,124.7179,,,
1994,12.011,125.4900357,124.2889357,,,
1994,12.011,125.0610714,123.8599714,,,
1994,12.011,124.6321071,123.4310071,,,
1994,12.011,124.2031429,123.0020429,,,
1994,12.011,123.7741786,122.5730786,,,
1994,12.011,123.3452143,122.1441143,,,
1994,12.011,122.91625,121.71515,,,
1995,11.415,122.4872857,121.3457857,,,
1995,11.415,122.0796071,120.9381071,,,
1995,11.415,121.6719286,120.5304286,,,
1995,11.415,121.26425,120.12275,,,
1995,11.415,120.8565714,119.7150714,,,
1995,11.415,120.4488929,119.3073929,,,
1995,11.415,120.0412143,118.8997143,,,
1995,11.415,119.6335357,118.4920357,,,
1995,11.415,119.2258571,118.0843571,,,
1995,11.415,118.8181786,117.6766786,,,
1995,11.415,118.4105,117.269,,,
1995,11.415,118.0028214,116.8613214,,,
1996,11.841,117.5951429,116.4110429,,,
1996,11.841,117.17225,115.98815,,,
1996,11.841,116.7493571,115.5652571,,,
1996,11.841,116.3264643,115.1423643,,,
1996,11.841,115.9035714,114.7194714,,,
1996,11.841,115.4806786,114.2965786,,,
1996,11.841,115.0577857,113.8736857,,,
1996,11.841,114.6348929,113.4507929,,,
1996,11.841,114.212,113.0279,,,
1996,11.841,113.7891071,112.6050071,,,
1996,11.841,113.3662143,112.1821143,,,
1996,11.841,112.9433214,111.7592214,,,
1997,11.668,112.5204286,111.3536286,,,
1997,11.668,112.1037143,110.9369143,,,
1997,11.668,111.687,110.5202,,,
1997,11.668,111.2702857,110.1034857,,,
1997,11.668,110.8535714,109.6867714,,,
1997,11.668,110.4368571,109.2700571,,,
